Region,date,Beans,Rice
Mbeya,2024-12-18,2900.0,2000.0
Mbeya,2025-02-12,2800.0,2100.0
Mbeya,2025-02-19,2800.0,2200.0
Mbeya,2025-03-05,2600.0,2500.0
Mbeya,2025-03-26,2300.0,2000.0
Mbeya,2025-06-04,2700.0,2100.0
Mbeya,2025-08-20,2200.0,2200.0
Mbeya,2025-09-03,1900.0,2200.0
Morogoro,2024-08-21,2800.0,1700.0
Morogoro,2024-12-18,2900.0,1900.0
Morogoro,2025-01-13,3100.0,1800.0
Morogoro,2025-02-05,3000.0,2000.0
Morogoro,2025-02-12,3000.0,2000.0
Morogoro,2025-02-19,2900.0,2000.0
Morogoro,2025-02-26,3000.0,2200.0
Morogoro,2025-03-05,2500.0,2200.0
Morogoro,2025-03-12,2800.0,2500.0
Morogoro,2025-03-26,3000.0,2300.0
Morogoro,2025-05-07,2900.0,2200.0
Morogoro,2025-05-14,2900.0,2200.0
Morogoro,2025-05-21,3000.0,2200.0
Morogoro,2025-05-28,2900.0,2200.0
Morogoro,2025-06-04,3000.0,2200.0
Morogoro,2025-06-11,2900.0,2200.0
Morogoro,2025-06-18,2900.0,2200.0
Morogoro,2025-06-25,2700.0,2200.0
Morogoro,2025-07-23,2300.0,2200.0
Morogoro,2025-08-06,2200.0,2100.0
Morogoro,2025-08-13,2500.0,2000.0
Morogoro,2025-08-20,2300.0,2000.0
Morogoro,2025-08-27,2100.0,2000.0
Morogoro,2025-09-03,2400.0,2000.0
Morogoro,2025-09-10,2100.0,2200.0
Morogoro,2025-10-22,2300.0,2000.0
Morogoro,2025-11-05,2200.0,2000.0
Morogoro,2025-11-12,2300.0,1900.0
Morogoro,2025-11-19,2300.0,2000.0
Morogoro,2025-11-26,2700.0,2000.0
Morogoro,2025-12-17,2600.0,2400.0
Morogoro,2026-01-07,2600.0,2700.0
Morogoro,2026-01-14,2500.0,2600.0
Morogoro,2026-01-21,2600.0,2900.0
Morogoro,2026-01-28,2600.0,2700.0
Morogoro,2026-02-04,2500.0,2900.0
Morogoro,2026-02-11,2400.0,2800.0
Morogoro,2026-02-18,2700.0,2800.0
Morogoro,2026-02-25,2600.0,2700.0
Morogoro,2026-03-04,2400.0,3000.0
Morogoro,2026-03-11,2600.0,2800.0
Morogoro,2026-03-25,2300.0,3000.0
Morogoro,2026-04-15,2300.0,3000.0
Morogoro,2026-04-22,2300.0,2900.0
Mtwara,2024-08-21,3100.0,3000.0
Mtwara,2024-12-18,3100.0,2200.0
Mtwara,2025-02-19,2900.0,2200.0
Mtwara,2025-03-12,3200.0,2300.0
Mtwara,2025-03-26,2900.0,2300.0
Mtwara,2025-05-28,2900.0,2300.0
Mtwara,2025-06-04,2900.0,2700.0
Mtwara,2025-06-11,2900.0,2700.0
Mtwara,2025-08-20,2100.0,2400.0
Mtwara,2025-08-27,,2400.0
Mtwara,2025-09-03,2200.0,2400.0
Mtwara,2025-09-10,2300.0,2200.0
Mtwara,2025-09-17,2300.0,2400.0
Mtwara,2025-10-22,2100.0,2500.0
Mtwara,2025-11-05,2300.0,2600.0
Mtwara,2025-11-12,2000.0,2600.0
Mtwara,2025-11-19,2000.0,2600.0
Mtwara,2026-01-07,2200.0,2800.0
Mtwara,2026-01-14,2200.0,2800.0
Mtwara,2026-01-21,2000.0,2800.0
Mtwara,2026-01-28,2200.0,2800.0
Mtwara,2026-02-04,2500.0,2800.0
Mtwara,2026-02-11,2300.0,2900.0
Mtwara,2026-02-18,2300.0,2900.0
Mtwara,2026-02-25,2400.0,2900.0
Mtwara,2026-03-04,2400.0,2900.0
Mtwara,2026-03-11,2400.0,2900.0
Mtwara,2026-04-15,2400.0,2900.0
Mtwara,2026-04-22,2400.0,2900.0
Mwanza,2024-08-21,2500.0,2100.0
Mwanza,2024-12-04,3000.0,2100.0
Mwanza,2024-12-18,3000.0,2200.0
Mwanza,2024-12-25,3000.0,2200.0
Mwanza,2025-01-08,3000.0,2200.0
Mwanza,2025-01-15,2800.0,2000.0
Mwanza,2025-01-22,2700.0,1900.0
Mwanza,2025-02-12,2500.0,1800.0
Mwanza,2025-02-19,2500.0,2000.0
Mwanza,2025-03-05,2800.0,2200.0
Mwanza,2025-03-12,2800.0,2300.0
Mwanza,2025-03-26,2800.0,2300.0
Mwanza,2025-04-09,2800.0,2400.0
Mwanza,2025-04-16,2800.0,2500.0
Mwanza,2025-05-07,2700.0,2600.0
Mwanza,2025-05-14,2700.0,2500.0
Mwanza,2025-05-21,2600.0,2500.0
Mwanza,2025-05-28,2700.0,2500.0
Mwanza,2025-06-04,2800.0,2600.0
Mwanza,2025-06-18,2500.0,2200.0
Mwanza,2025-06-25,2400.0,2200.0
Mwanza,2025-07-23,1900.0,2000.0
Mwanza,2025-08-13,2200.0,2400.0
Mwanza,2025-08-20,2200.0,2400.0
Mwanza,2025-08-27,2200.0,2400.0
Mwanza,2025-09-03,2400.0,2400.0
Mwanza,2025-09-10,2250.0,2600.0
Mwanza,2025-09-17,2300.0,2600.0
Mwanza,2025-09-24,2000.0,2400.0
Mwanza,2025-11-12,2500.0,2700.0
Mwanza,2026-01-21,2000.0,3000.0
Mwanza,2026-01-28,2100.0,2600.0
Mwanza,2026-02-11,2300.0,2900.0
Mwanza,2026-02-18,2400.0,2900.0
Mwanza,2026-03-04,2200.0,3000.0
Mwanza,2026-03-11,2300.0,2900.0
Mwanza,2026-03-18,2200.0,2900.0
Mwanza,2026-03-25,2300.0,3000.0
Mwanza,2026-05-06,2400.0,2400.0
Njombe,2024-08-21,2100.0,1900.0
Njombe,2024-12-18,2200.0,2200.0
Njombe,2025-02-05,2400.0,2100.0
Njombe,2025-02-12,2400.0,2100.0
Njombe,2025-02-19,2200.0,2100.0
Njombe,2025-03-05,2100.0,2100.0
Njombe,2025-03-12,2300.0,2200.0
Njombe,2025-03-26,2300.0,
Njombe,2025-04-09,2300.0,2400.0
Njombe,2025-05-14,2300.0,2200.0
Njombe,2025-06-04,2300.0,2300.0
Njombe,2025-06-18,2200.0,2200.0
Njombe,2025-06-25,2100.0,2300.0
Njombe,2025-07-23,1900.0,2300.0
Njombe,2025-08-06,1900.0,2400.0
Njombe,2025-08-13,1800.0,2200.0
Njombe,2025-08-20,1800.0,2200.0
Njombe,2025-08-27,1600.0,2000.0
Njombe,2025-09-03,1700.0,2300.0
Njombe,2025-09-17,1800.0,2200.0
Njombe,2025-09-24,2000.0,2600.0
Njombe,2025-11-12,1800.0,2500.0
Njombe,2026-02-11,1900.0,2800.0
Njombe,2026-02-18,1900.0,2800.0
Njombe,2026-03-04,1700.0,2900.0
Njombe,2026-03-11,1700.0,2800.0
Njombe,2026-03-18,1700.0,2700.0
Njombe,2026-03-25,1700.0,2900.0
Njombe,2026-05-06,1700.0,2900.0
Pwani,2024-08-21,2900.0,2000.0
Pwani,2025-03-12,3000.0,2300.0
Pwani,2025-03-26,3100.0,2300.0
Pwani,2025-04-09,3100.0,2600.0
Pwani,2025-04-23,3100.0,2500.0
Pwani,2025-05-14,3100.0,2300.0
Pwani,2025-06-18,3100.0,2600.0
Pwani,2025-06-25,3100.0,2600.0
Pwani,2025-07-23,2800.0,2400.0
Pwani,2025-08-06,2800.0,2400.0
Pwani,2025-08-20,2600.0,2400.0
Pwani,2025-09-03,2600.0,2400.0
Pwani,2025-09-10,,2400.0
Pwani,2025-09-17,2600.0,2400.0
Pwani,2025-09-24,2600.0,2400.0
Pwani,2025-11-12,2500.0,2700.0
Pwani,2025-11-19,2600.0,2400.0
Pwani,2026-02-11,2800.0,2800.0
Pwani,2026-02-18,2600.0,2700.0
Pwani,2026-03-04,2500.0,2800.0
Pwani,2026-03-11,2600.0,
Rukwa,2024-08-21,2300.0,1600.0
Rukwa,2024-12-04,2900.0,2000.0
Rukwa,2024-12-18,2900.0,2100.0
Rukwa,2024-12-25,,2100.0
Rukwa,2025-01-08,3000.0,2100.0
Rukwa,2025-01-13,2900.0,2100.0
Rukwa,2025-01-15,2900.0,2100.0
Rukwa,2025-01-22,2800.0,2100.0
Rukwa,2025-02-05,2600.0,2100.0
Rukwa,2025-02-12,2600.0,2200.0
Rukwa,2025-02-19,2500.0,2200.0
Rukwa,2025-02-26,2500.0,2200.0
Rukwa,2025-03-05,2500.0,2200.0
Rukwa,2025-03-12,2500.0,2400.0
Rukwa,2025-03-26,2400.0,2300.0
Rukwa,2025-04-09,2700.0,2300.0
Rukwa,2025-04-16,2800.0,2300.0
Rukwa,2025-04-23,2900.0,2100.0
Rukwa,2025-05-07,2800.0,2100.0
Rukwa,2025-05-14,2900.0,2200.0
Rukwa,2025-05-21,2900.0,2100.0
Rukwa,2025-05-28,2800.0,2100.0
Rukwa,2025-06-04,2600.0,2200.0
Rukwa,2025-06-11,2400.0,2200.0
Rukwa,2025-06-18,2400.0,2200.0
Rukwa,2025-06-25,2400.0,2200.0
Rukwa,2025-07-09,2600.0,2200.0
Rukwa,2025-08-06,2400.0,2100.0
Rukwa,2025-08-20,2300.0,2100.0
Rukwa,2025-08-27,2500.0,2200.0
Rukwa,2025-09-03,2400.0,2200.0
Rukwa,2025-09-10,2600.0,2200.0
Rukwa,2025-09-17,2400.0,2200.0
Rukwa,2025-09-24,2500.0,2300.0
Rukwa,2025-10-15,2500.0,2200.0
Rukwa,2025-10-22,2600.0,2200.0
Rukwa,2025-11-05,2400.0,2400.0
Rukwa,2025-11-12,2400.0,2300.0
Rukwa,2025-11-19,2400.0,2300.0
Rukwa,2025-11-26,2800.0,2300.0
Rukwa,2025-12-10,2300.0,2300.0
Rukwa,2025-12-17,2400.0,2300.0
Rukwa,2026-01-07,2200.0,2500.0
Rukwa,2026-01-14,2100.0,2500.0
Rukwa,2026-01-21,2100.0,2500.0
Rukwa,2026-01-28,2000.0,2600.0
Rukwa,2026-02-04,2100.0,2600.0
Rukwa,2026-02-11,2100.0,2600.0
Rukwa,2026-02-18,1900.0,2600.0
Rukwa,2026-02-25,1900.0,2600.0
Rukwa,2026-03-04,1600.0,2700.0
Rukwa,2026-03-11,1600.0,2700.0
Rukwa,2026-03-18,1600.0,
Rukwa,2026-03-25,1500.0,2600.0
Rukwa,2026-04-08,1400.0,2600.0
Rukwa,2026-04-15,1800.0,2600.0
Rukwa,2026-04-22,1800.0,2600.0
Rukwa,2026-05-06,1700.0,2400.0
Ruvuma,2024-08-21,1900.0,2100.0
Ruvuma,2024-12-18,,2000.0
Ruvuma,2025-01-13,,2000.0
Ruvuma,2025-02-12,2800.0,2300.0
Ruvuma,2025-02-19,2800.0,2100.0
Ruvuma,2025-02-26,2800.0,2100.0
Ruvuma,2025-03-05,2800.0,2100.0
