Region,date,crop,price_tzs_per_kg,source_pdf,source_url
Morogoro,2024-12-18,Rice,1900,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Mtwara,2024-12-18,Beans,3100,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Mtwara,2024-12-18,Rice,2200,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Mwanza,2024-12-18,Beans,3000,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Mwanza,2024-12-18,Rice,2200,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Njombe,2024-12-18,Beans,2200,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Njombe,2024-12-18,Rice,2200,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Rukwa,2024-12-18,Beans,2900,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Rukwa,2024-12-18,Rice,2100,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Ruvuma,2024-12-18,Rice,2000,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Shinyanga,2024-12-18,Beans,3100,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Shinyanga,2024-12-18,Rice,1800,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Singida,2024-12-18,Beans,2900,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Singida,2024-12-18,Rice,1800,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Tabora,2024-12-18,Beans,2800,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Tabora,2024-12-18,Rice,1400,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
